id,value
"Amino Acids, Peptides, and Proteins",D12
"Amino Acids, Peptides, and Proteins.Amino Acids",D12.125
"Amino Acids, Peptides, and Proteins.Amino Acids.Alanine",D12.125.042
"Amino Acids, Peptides, and Proteins.Amino Acids.Alanine.beta-Alanine",D12.125.042.070
"Amino Acids, Peptides, and Proteins.Amino Acids.Alanine.beta-Alanine.Pantothenic Acid",D12.125.042.070.500
"Amino Acids, Peptides, and Proteins.Amino Acids.Alanine.Lysinoalanine",D12.125.042.475
"Amino Acids, Peptides, and Proteins.Amino Acids.Alanine.Mimosine",D12.125.042.500
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acid Chloromethyl Ketones",D12.125.065
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acid Chloromethyl Ketones.Tosyllysine Chloromethyl Ketone",D12.125.065.850
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acid Chloromethyl Ketones.Tosylphenylalanyl Chloromethyl Ketone",D12.125.065.930
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic",D12.125.067
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic.Aspartic Acid",D12.125.067.500
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic.Aspartic Acid.D-Aspartic Acid",D12.125.067.500.150
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic.Aspartic Acid.Isoaspartic Acid",D12.125.067.500.275
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic.Aspartic Acid.N-Methylaspartate",D12.125.067.500.400
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic.Aspartic Acid.Potassium Magnesium Aspartate",D12.125.067.500.700
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic.Glutamates",D12.125.067.625
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic.Glutamates.1-Carboxyglutamic Acid",D12.125.067.625.174
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic.Glutamates.Glutamic Acid",D12.125.067.625.349
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic.Glutamates.Glutamic Acid.Sodium Glutamate",D12.125.067.625.349.850
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Acidic.Glutamates.Pemetrexed",D12.125.067.625.525
