id,value
Biological Factors,D23
Biological Factors.Alarmins,D23.035
Biological Factors.Antigens,D23.050
Biological Factors.Antigens.Allergens,D23.050.063
Biological Factors.Antigens.Antigen-Antibody Complex,D23.050.101
"Biological Factors.Antigens.Antigens, Archaeal",D23.050.140
"Biological Factors.Antigens.Antigens, Bacterial",D23.050.161
"Biological Factors.Antigens.Antigens, Bacterial.Adhesins, Bacterial",D23.050.161.050
"Biological Factors.Antigens.Antigens, Bacterial.Adhesins, Bacterial.Adhesins, Escherichia coli",D23.050.161.050.040
"Biological Factors.Antigens.Antigens, Bacterial.Lepromin",D23.050.161.386
"Biological Factors.Antigens.Antigens, Bacterial.Polysaccharides, Bacterial",D23.050.161.616
"Biological Factors.Antigens.Antigens, Bacterial.Polysaccharides, Bacterial.Lipopolysaccharides",D23.050.161.616.525
"Biological Factors.Antigens.Antigens, Bacterial.Polysaccharides, Bacterial.Lipopolysaccharides.Lipid A",D23.050.161.616.525.500
"Biological Factors.Antigens.Antigens, Bacterial.Polysaccharides, Bacterial.Lipopolysaccharides.O Antigens",D23.050.161.616.525.600
"Biological Factors.Antigens.Antigens, Bacterial.Polysaccharides, Bacterial.Peptidoglycan",D23.050.161.616.594
"Biological Factors.Antigens.Antigens, Bacterial.Polysaccharides, Bacterial.Teichoic Acids",D23.050.161.616.797
"Biological Factors.Antigens.Antigens, Bacterial.Staphylococcal Protein A",D23.050.161.821
"Biological Factors.Antigens.Antigens, Bacterial.Tuberculin",D23.050.161.845
"Biological Factors.Antigens.Antigens, Dermatophagoides",D23.050.181
"Biological Factors.Antigens.Antigens, Fungal",D23.050.202
"Biological Factors.Antigens.Antigens, Fungal.Coccidioidin",D23.050.202.180
"Biological Factors.Antigens.Antigens, Fungal.Fungal Polysaccharides",D23.050.202.283
"Biological Factors.Antigens.Antigens, Fungal.Histoplasmin",D23.050.202.386
"Biological Factors.Antigens.Antigens, Fungal.Trichophytin",D23.050.202.800
"Biological Factors.Antigens.Antigens, Helminth",D23.050.223
