id,value
Biomedical and Dental Materials,D25
Biomedical and Dental Materials.Alloys,D25.058
Biomedical and Dental Materials.Alloys.Chromium Alloys,D25.058.224
Biomedical and Dental Materials.Alloys.Chromium Alloys.Vitallium,D25.058.224.735
Biomedical and Dental Materials.Alloys.Gold Alloys,D25.058.451
Biomedical and Dental Materials.Alloys.Metal Ceramic Alloys,D25.058.520
Biomedical and Dental Materials.Alloys.Metal Ceramic Alloys.Cermet Cements,D25.058.520.250
Biomedical and Dental Materials.Alloys.Steel,D25.058.807
Biomedical and Dental Materials.Alloys.Steel.Stainless Steel,D25.058.807.681
Biomedical and Dental Materials.Biocompatible Materials,D25.130
Biomedical and Dental Materials.Biocompatible Materials.Bone Substitutes,D25.130.325
"Biomedical and Dental Materials.Biocompatible Materials.Coated Materials, Biocompatible",D25.130.420
Biomedical and Dental Materials.Biocompatible Materials.Polydioxanone,D25.130.650
Biomedical and Dental Materials.Cariogenic Agents,D25.187
Biomedical and Dental Materials.Cariostatic Agents,D25.223
Biomedical and Dental Materials.Cariostatic Agents.Acidulated Phosphate Fluoride,D25.223.015
"Biomedical and Dental Materials.Cariostatic Agents.Fluorides, Topical",D25.223.432
Biomedical and Dental Materials.Cariostatic Agents.Sodium Fluoride,D25.223.716
Biomedical and Dental Materials.Cariostatic Agents.Tin Fluorides,D25.223.800
Biomedical and Dental Materials.Dental Materials,D25.339
Biomedical and Dental Materials.Dental Materials.Dental Alloys,D25.339.208
Biomedical and Dental Materials.Dental Materials.Dental Alloys.Chromium Alloys,D25.339.208.224
Biomedical and Dental Materials.Dental Materials.Dental Alloys.Chromium Alloys.Vitallium,D25.339.208.224.959
Biomedical and Dental Materials.Dental Materials.Dental Alloys.Dental Amalgam,D25.339.208.291
Biomedical and Dental Materials.Dental Materials.Dental Alloys.Gold Alloys,D25.339.208.534
Biomedical and Dental Materials.Dental Materials.Dental Alloys.Metal Ceramic Alloys,D25.339.208.720
Biomedical and Dental Materials.Dental Materials.Dental Alloys.Metal Ceramic Alloys.Cermet Cements,D25.339.208.720.250
Biomedical and Dental Materials.Dental Materials.Dental Casting Investment,D25.339.250
Biomedical and Dental Materials.Dental Materials.Dental Cements,D25.339.291
Biomedical and Dental Materials.Dental Materials.Dental Cements.Compomers,D25.339.291.150
Biomedical and Dental Materials.Dental Materials.Dental Cements.Dentin-Bonding Agents,D25.339.291.300
Biomedical and Dental Materials.Dental Materials.Dental Cements.Dentin-Bonding Agents.Silorane Resins,D25.339.291.300.500
Biomedical and Dental Materials.Dental Materials.Dental Cements.Glass Ionomer Cements,D25.339.291.402
Biomedical and Dental Materials.Dental Materials.Dental Cements.Glass Ionomer Cements.Cermet Cements,D25.339.291.402.120
Biomedical and Dental Materials.Dental Materials.Dental Cements.Organically Modified Ceramics,D25.339.291.551
Biomedical and Dental Materials.Dental Materials.Dental Cements.Polycarboxylate Cement,D25.339.291.700
Biomedical and Dental Materials.Dental Materials.Dental Cements.Resin Cements,D25.339.291.750
Biomedical and Dental Materials.Dental Materials.Dental Cements.Silicate Cement,D25.339.291.800
Biomedical and Dental Materials.Dental Materials.Dental Cements.Zinc Oxide-Eugenol Cement,D25.339.291.925
Biomedical and Dental Materials.Dental Materials.Dental Cements.Zinc Phosphate Cement,D25.339.291.950
Biomedical and Dental Materials.Dental Materials.Dental Implants,D25.339.312
Biomedical and Dental Materials.Dental Materials.Dental Impression Materials,D25.339.334
Biomedical and Dental Materials.Dental Materials.Dental Impression Materials.Inlay Casting Wax,D25.339.334.574
Biomedical and Dental Materials.Dental Materials.Dental Porcelain,D25.339.376
"Biomedical and Dental Materials.Dental Materials.Photoinitiators, Dental",D25.339.574
