id,value
Carbohydrates,D09
Carbohydrates.Amino Sugars,D09.067
Carbohydrates.Amino Sugars.Hexosamines,D09.067.342
Carbohydrates.Amino Sugars.Hexosamines.Fructosamine,D09.067.342.300
Carbohydrates.Amino Sugars.Hexosamines.Galactosamine,D09.067.342.356
Carbohydrates.Amino Sugars.Hexosamines.Galactosamine.Acetylgalactosamine,D09.067.342.356.050
Carbohydrates.Amino Sugars.Hexosamines.Glucosamine,D09.067.342.531
Carbohydrates.Amino Sugars.Hexosamines.Glucosamine.Acetylglucosamine,D09.067.342.531.050
Carbohydrates.Amino Sugars.Hexosamines.Meglumine,D09.067.342.600
Carbohydrates.Amino Sugars.Hexosamines.Meglumine.Diatrizoate Meglumine,D09.067.342.600.500
Carbohydrates.Amino Sugars.Hexosamines.Meglumine.Iothalamate Meglumine,D09.067.342.600.600
Carbohydrates.Amino Sugars.Muramic Acids,D09.067.550
Carbohydrates.Amino Sugars.Muramic Acids.Acetylmuramyl-Alanyl-Isoglutamine,D09.067.550.050
Carbohydrates.Amino Sugars.Neuraminic Acids,D09.067.687
Carbohydrates.Amino Sugars.Neuraminic Acids.Sialic Acids,D09.067.687.668
Carbohydrates.Amino Sugars.Neuraminic Acids.Sialic Acids.N-Acetylneuraminic Acid,D09.067.687.668.030
Carbohydrates.Amino Sugars.Neuraminic Acids.Sialic Acids.Cytidine Monophosphate N-Acetylneuraminic Acid,D09.067.687.668.250
Carbohydrates.Amino Sugars.Neuraminic Acids.Sialic Acids.Zanamivir,D09.067.687.668.775
Carbohydrates.Carbasugars,D09.161
Carbohydrates.Deoxy Sugars,D09.254
Carbohydrates.Deoxy Sugars.Deoxyglucose,D09.254.229
Carbohydrates.Deoxy Sugars.Deoxyglucose.Fluorodeoxyglucose F18,D09.254.229.500
Carbohydrates.Deoxy Sugars.Deoxyribose,D09.254.330
Carbohydrates.Deoxy Sugars.Fucose,D09.254.488
Carbohydrates.Deoxy Sugars.Rhamnose,D09.254.799
Carbohydrates.Dietary Carbohydrates,D09.301
Carbohydrates.Dietary Carbohydrates.Dietary Fiber,D09.301.416
Carbohydrates.Dietary Carbohydrates.Dietary Fiber.Prebiotics,D09.301.416.500
Carbohydrates.Dietary Carbohydrates.Dietary Sugars,D09.301.831
Carbohydrates.Dietary Carbohydrates.Dietary Sugars.Dietary Sucrose,D09.301.831.250
Carbohydrates.Dietary Carbohydrates.Dietary Sugars.High Fructose Corn Syrup,D09.301.831.500
Carbohydrates.Dietary Carbohydrates.Starch,D09.301.915
Carbohydrates.Dietary Carbohydrates.Starch.Amylopectin,D09.301.915.194
Carbohydrates.Dietary Carbohydrates.Starch.Amylose,D09.301.915.361
Carbohydrates.Dietary Carbohydrates.Starch.Dextrins,D09.301.915.400
Carbohydrates.Dietary Carbohydrates.Starch.Dextrins.Cyclodextrins,D09.301.915.400.375
Carbohydrates.Dietary Carbohydrates.Starch.Dextrins.Cyclodextrins.alpha-Cyclodextrins,D09.301.915.400.375.222
