id,value
Chemical Actions and Uses,D27
Chemical Actions and Uses.Pharmacologic Actions,D27.505
Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals,D27.505.259
Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Contrast Media,D27.505.259.500
Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Molecular Probes,D27.505.259.750
Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Molecular Probes.Nucleic Acid Probes,D27.505.259.750.600
Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Molecular Probes.Nucleic Acid Probes.DNA Probes,D27.505.259.750.600.223
"Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Molecular Probes.Nucleic Acid Probes.DNA Probes.DNA Probes, HLA",D27.505.259.750.600.223.615
"Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Molecular Probes.Nucleic Acid Probes.DNA Probes.DNA Probes, HPV",D27.505.259.750.600.223.620
Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Molecular Probes.Nucleic Acid Probes.Oligonucleotide Probes,D27.505.259.750.600.650
Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Molecular Probes.Nucleic Acid Probes.RNA Probes,D27.505.259.750.600.825
Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Neuronal Tract-Tracers,D27.505.259.812
Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Radiopharmaceuticals,D27.505.259.843
"Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Reagent Kits, Diagnostic",D27.505.259.875
"Chemical Actions and Uses.Pharmacologic Actions.Diagnostic Uses of Chemicals.Reagent Kits, Diagnostic.Reagent Strips",D27.505.259.875.680
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances,D27.505.389
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inducers,D27.505.389.249
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inducers.Cytochrome P-450 CYP1A2 Inducers,D27.505.389.249.120
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inducers.Cytochrome P-450 CYP2B6 Inducers,D27.505.389.249.260
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inducers.Cytochrome P-450 CYP2C8 Inducers,D27.505.389.249.308
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inducers.Cytochrome P-450 CYP2C9 Inducers,D27.505.389.249.320
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inducers.Cytochrome P-450 CYP2C19 Inducers,D27.505.389.249.350
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inducers.Cytochrome P-450 CYP2D6 Inducers,D27.505.389.249.500
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inducers.Cytochrome P-450 CYP2E1 Inducers,D27.505.389.249.600
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inducers.Cytochrome P-450 CYP3A Inducers,D27.505.389.249.700
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inhibitors,D27.505.389.500
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inhibitors.14-alpha Demethylase Inhibitors,D27.505.389.500.059
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inhibitors.Cytochrome P-450 CYP1A2 Inhibitors,D27.505.389.500.120
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inhibitors.Cytochrome P-450 CYP2B6 Inhibitors,D27.505.389.500.260
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inhibitors.Cytochrome P-450 CYP2C8 Inhibitors,D27.505.389.500.308
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inhibitors.Cytochrome P-450 CYP2C9 Inhibitors,D27.505.389.500.315
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inhibitors.Cytochrome P-450 CYP2C19 Inhibitors,D27.505.389.500.319
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inhibitors.Cytochrome P-450 CYP2D6 Inhibitors,D27.505.389.500.368
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inhibitors.Cytochrome P-450 CYP2E1 Inhibitors,D27.505.389.500.421
Chemical Actions and Uses.Pharmacologic Actions.Metabolic Side Effects of Drugs and Substances.Cytochrome P-450 Enzyme Inhibitors.Cytochrome P-450 CYP3A Inhibitors,D27.505.389.500.503
