id,value
Complex Mixtures,D20
Complex Mixtures.Acid Rain,D20.050
Complex Mixtures.Ambergris,D20.080
Complex Mixtures.Biofuels,D20.147
Complex Mixtures.Biological Products,D20.215
Complex Mixtures.Biological Products.Biological Control Agents,D20.215.113
Complex Mixtures.Biological Products.Biological Warfare Agents,D20.215.226
Complex Mixtures.Biological Products.Biosimilar Pharmaceuticals,D20.215.261
Complex Mixtures.Biological Products.Immune Sera,D20.215.401
Complex Mixtures.Biological Products.Immune Sera.Antilymphocyte Serum,D20.215.401.203
Complex Mixtures.Biological Products.Immune Sera.Antitoxins,D20.215.401.601
Complex Mixtures.Biological Products.Immune Sera.Antitoxins.Antivenins,D20.215.401.601.163
Complex Mixtures.Biological Products.Immune Sera.Antitoxins.Botulinum Antitoxin,D20.215.401.601.276
Complex Mixtures.Biological Products.Immune Sera.Antitoxins.Diphtheria Antitoxin,D20.215.401.601.388
Complex Mixtures.Biological Products.Immune Sera.Antitoxins.Tetanus Antitoxin,D20.215.401.601.824
Complex Mixtures.Biological Products.Menotropins,D20.215.535
Complex Mixtures.Biological Products.Picibanil,D20.215.659
Complex Mixtures.Biological Products.Plant Exudates,D20.215.721
Complex Mixtures.Biological Products.Plant Exudates.Gutta-Percha,D20.215.721.061
Complex Mixtures.Biological Products.Plant Exudates.Latex,D20.215.721.124
Complex Mixtures.Biological Products.Plant Exudates.Plant Gums,D20.215.721.249
Complex Mixtures.Biological Products.Plant Exudates.Plant Gums.Chewing Gum,D20.215.721.249.249
Complex Mixtures.Biological Products.Plant Exudates.Plant Gums.Gum Arabic,D20.215.721.249.500
Complex Mixtures.Biological Products.Plant Exudates.Plant Gums.Karaya Gum,D20.215.721.249.625
Complex Mixtures.Biological Products.Plant Exudates.Plant Gums.Tragacanth,D20.215.721.249.750
"Complex Mixtures.Biological Products.Plant Exudates.Resins, Plant",D20.215.721.500
"Complex Mixtures.Biological Products.Plant Exudates.Resins, Plant.Amber",D20.215.721.500.109
"Complex Mixtures.Biological Products.Plant Exudates.Resins, Plant.Balsams",D20.215.721.500.219
"Complex Mixtures.Biological Products.Plant Exudates.Resins, Plant.Frankincense",D20.215.721.500.354
"Complex Mixtures.Biological Products.Plant Exudates.Resins, Plant.Guaiac",D20.215.721.500.490
"Complex Mixtures.Biological Products.Plant Exudates.Resins, Plant.Mastic Resin",D20.215.721.500.626
"Complex Mixtures.Biological Products.Plant Exudates.Resins, Plant.Propolis",D20.215.721.500.762
"Complex Mixtures.Biological Products.Plant Exudates.Resins, Plant.Turpentine",D20.215.721.500.881
Complex Mixtures.Biological Products.Plant Nectar,D20.215.780
Complex Mixtures.Biological Products.Plant Preparations,D20.215.784
Complex Mixtures.Biological Products.Plant Preparations.Coffee,D20.215.784.249
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts,D20.215.784.500
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Flower Essences,D20.215.784.500.087
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Cascara,D20.215.784.500.175
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Curare,D20.215.784.500.200
"Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Drugs, Chinese Herbal",D20.215.784.500.350
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Grape Seed Extract,D20.215.784.500.400
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Ipecac,D20.215.784.500.450
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Lecithins,D20.215.784.500.492
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Opium,D20.215.784.500.534
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Pectins,D20.215.784.500.618
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Podophyllin,D20.215.784.500.675
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Psyllium,D20.215.784.500.720
Complex Mixtures.Biological Products.Plant Preparations.Plant Extracts.Senna Extract,D20.215.784.500.860
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils,D20.215.784.750
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Canola Oil,D20.215.784.750.066
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Castor Oil,D20.215.784.750.132
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Clove Oil,D20.215.784.750.186
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Corn Oil,D20.215.784.750.240
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Cottonseed Oil,D20.215.784.750.263
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Croton Oil,D20.215.784.750.315
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Iodized Oil,D20.215.784.750.550
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Iodized Oil.Ethiodized Oil,D20.215.784.750.550.300
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Linseed Oil,D20.215.784.750.615
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Palm Oil,D20.215.784.750.728
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Rice Bran Oil,D20.215.784.750.784
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Safflower Oil,D20.215.784.750.840
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Sesame Oil,D20.215.784.750.865
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Soybean Oil,D20.215.784.750.880
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Sunflower Oil,D20.215.784.750.910
Complex Mixtures.Biological Products.Plant Preparations.Plant Oils.Tea Tree Oil,D20.215.784.750.940
Complex Mixtures.Biological Products.Plant Preparations.Tea,D20.215.784.844
Complex Mixtures.Biological Products.Plant Preparations.Tea.Kombucha Tea,D20.215.784.844.500
"Complex Mixtures.Biological Products.Plant Preparations.Teas, Herbal",D20.215.784.937
Complex Mixtures.Biological Products.Vaccines,D20.215.894
Complex Mixtures.Biological Products.Vaccines.Alzheimer Vaccines,D20.215.894.067
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines,D20.215.894.135
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Anthrax Vaccines,D20.215.894.135.063
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Autovaccines,D20.215.894.135.098
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Brucella Vaccine,D20.215.894.135.134
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Cholera Vaccines,D20.215.894.135.225
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Diphtheria-Tetanus Vaccine,D20.215.894.135.310
