id,value
Enzymes and Coenzymes,D08
Enzymes and Coenzymes.Coenzymes,D08.211
Enzymes and Coenzymes.Coenzymes.Biopterin,D08.211.090
Enzymes and Coenzymes.Coenzymes.Biopterin.Neopterin,D08.211.090.500
Enzymes and Coenzymes.Coenzymes.Biotin,D08.211.096
Enzymes and Coenzymes.Coenzymes.Cobamides,D08.211.175
Enzymes and Coenzymes.Coenzymes.Coenzyme A,D08.211.211
Enzymes and Coenzymes.Coenzymes.Coenzyme A.Acyl Coenzyme A,D08.211.211.300
Enzymes and Coenzymes.Coenzymes.Coenzyme A.Acyl Coenzyme A.Acetyl Coenzyme A,D08.211.211.300.075
Enzymes and Coenzymes.Coenzymes.Coenzyme A.Acyl Coenzyme A.Malonyl Coenzyme A,D08.211.211.300.500
Enzymes and Coenzymes.Coenzymes.Coenzyme A.Acyl Coenzyme A.Palmitoyl Coenzyme A,D08.211.211.300.700
Enzymes and Coenzymes.Coenzymes.Flavins,D08.211.474
Enzymes and Coenzymes.Coenzymes.Flavins.Riboflavin,D08.211.474.650
Enzymes and Coenzymes.Coenzymes.Flavins.Riboflavin.Flavin-Adenine Dinucleotide,D08.211.474.650.249
Enzymes and Coenzymes.Coenzymes.Flavins.Riboflavin.Flavin Mononucleotide,D08.211.474.650.500
Enzymes and Coenzymes.Coenzymes.NAD,D08.211.589
Enzymes and Coenzymes.Coenzymes.NADP,D08.211.625
Enzymes and Coenzymes.Coenzymes.PQQ Cofactor,D08.211.682
Enzymes and Coenzymes.Coenzymes.Pyridoxal Phosphate,D08.211.740
Enzymes and Coenzymes.Coenzymes.Sphingolipid Activator Proteins,D08.211.790
Enzymes and Coenzymes.Coenzymes.Sphingolipid Activator Proteins.G(M2) Activator Protein,D08.211.790.249
Enzymes and Coenzymes.Coenzymes.Sphingolipid Activator Proteins.Saposins,D08.211.790.500
Enzymes and Coenzymes.Coenzymes.Tetrahydrofolates,D08.211.840
Enzymes and Coenzymes.Coenzymes.Tetrahydrofolates.Formyltetrahydrofolates,D08.211.840.300
Enzymes and Coenzymes.Coenzymes.Tetrahydrofolates.Formyltetrahydrofolates.Leucovorin,D08.211.840.300.500
Enzymes and Coenzymes.Coenzymes.Thiamine Pyrophosphate,D08.211.878
Enzymes and Coenzymes.Coenzymes.Thioctic Acid,D08.211.906
Enzymes and Coenzymes.Coenzymes.Ubiquinone,D08.211.935
Enzymes and Coenzymes.Cytochromes,D08.244
Enzymes and Coenzymes.Cytochromes.Cytochrome a Group,D08.244.175
Enzymes and Coenzymes.Cytochromes.Cytochrome a Group.Cytochromes a,D08.244.175.249
Enzymes and Coenzymes.Cytochromes.Cytochrome a Group.Cytochromes a1,D08.244.175.500
Enzymes and Coenzymes.Cytochromes.Cytochrome a Group.Cytochromes a3,D08.244.175.600
Enzymes and Coenzymes.Cytochromes.Cytochrome b Group,D08.244.187
Enzymes and Coenzymes.Cytochromes.Cytochrome b Group.Cytochromes b,D08.244.187.249
