id,value
"Hormones, Hormone Substitutes, and Hormone Antagonists",D06
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists",D06.347
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Androgen Antagonists",D06.347.065
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Androgen Antagonists.Androgen Receptor Antagonists",D06.347.065.249
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Androgen Antagonists.Nonsteroidal Anti-Androgens",D06.347.065.500
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Antithyroid Agents",D06.347.100
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Calcimimetic Agents",D06.347.230
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Estrogen Antagonists",D06.347.295
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Estrogen Antagonists.Estrogen Receptor Antagonists",D06.347.295.500
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Estrogen Receptor Modulators",D06.347.360
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Estrogen Receptor Modulators.Selective Estrogen Receptor Modulators",D06.347.360.827
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Insulin Antagonists",D06.347.420
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Leukotriene Antagonists",D06.347.565
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Mineralocorticoid Receptor Antagonists",D06.347.700
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormone Antagonists.Prostaglandin Antagonists",D06.347.710
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormones",D06.472
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormones.Adrenal Cortex Hormones",D06.472.040
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormones.Adrenal Cortex Hormones.17-Ketosteroids",D06.472.040.502
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormones.Adrenal Cortex Hormones.17-Ketosteroids.Androstenedione",D06.472.040.502.112
"Hormones, Hormone Substitutes, and Hormone Antagonists.Hormones.Adrenal Cortex Hormones.17-Ketosteroids.Androsterone",D06.472.040.502.195
