id,value
Inorganic Chemicals,D01
Inorganic Chemicals.Acids,D01.029
"Inorganic Chemicals.Acids.Acids, Noncarboxylic",D01.029.260
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Boric Acids",D01.029.260.093
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Borinic Acids",D01.029.260.100
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Boronic Acids",D01.029.260.110
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Boronic Acids.Bortezomib",D01.029.260.110.500
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Carbonic Acid",D01.029.260.150
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Hydrobromic Acid",D01.029.260.300
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Hydrochloric Acid",D01.029.260.326
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Hydrofluoric Acid",D01.029.260.328
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Hydrogen Cyanide",D01.029.260.330
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Hydrogen Sulfide",D01.029.260.340
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Hypochlorous Acid",D01.029.260.365
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Nitric Acid",D01.029.260.550
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Nitrous Acid",D01.029.260.575
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Perchlorates",D01.029.260.650
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Periodic Acid",D01.029.260.675
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids",D01.029.260.700
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphinic Acids",D01.029.260.700.600
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids",D01.029.260.700.675
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates",D01.029.260.700.675.374
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Acidulated Phosphate Fluoride",D01.029.260.700.675.374.025
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Calcium Phosphates",D01.029.260.700.675.374.075
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Calcium Phosphates.Apatites",D01.029.260.700.675.374.075.025
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Calcium Phosphates.Apatites.Hydroxyapatites",D01.029.260.700.675.374.075.025.300
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Calcium Phosphates.Apatites.Hydroxyapatites.Durapatite",D01.029.260.700.675.374.075.025.300.150
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Calcium Phosphates.Calcium Pyrophosphate",D01.029.260.700.675.374.075.150
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Phosphoramides",D01.029.260.700.675.374.425
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Polyphosphates",D01.029.260.700.675.374.775
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Polyphosphates.Diphosphates",D01.029.260.700.675.374.775.150
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Polyphosphates.Diphosphates.Calcium Pyrophosphate",D01.029.260.700.675.374.775.150.150
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Polyphosphates.Diphosphates.Technetium Tc 99m Pyrophosphate",D01.029.260.700.675.374.775.150.900
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Polyphosphates.Tin Polyphosphates",D01.029.260.700.675.374.775.950
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphates.Struvite",D01.029.260.700.675.374.887
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphoric Acids.Phosphotungstic Acid",D01.029.260.700.675.750
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Phosphorus Acids.Phosphorous Acids",D01.029.260.700.700
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Silicic Acid",D01.029.260.863
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Sulfur Acids",D01.029.260.877
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Sulfur Acids.Sulfinic Acids",D01.029.260.877.700
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Sulfur Acids.Sulfonic Acids",D01.029.260.877.740
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Sulfur Acids.Sulfonic Acids.Thiosulfonic Acids",D01.029.260.877.740.900
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Sulfur Acids.Sulfuric Acids",D01.029.260.877.800
"Inorganic Chemicals.Acids.Acids, Noncarboxylic.Sulfur Acids.Sulfuric Acids.Tetrathionic Acid",D01.029.260.877.800.900
Inorganic Chemicals.Acids.Lewis Acids,D01.029.630
Inorganic Chemicals.Alkalies,D01.045
Inorganic Chemicals.Alkalies.Carbonates,D01.045.125
Inorganic Chemicals.Alkalies.Carbonates.Lithium Carbonate,D01.045.125.500
Inorganic Chemicals.Alkalies.Hydroxides,D01.045.250
Inorganic Chemicals.Alkalies.Hydroxides.Aluminum Hydroxide,D01.045.250.050
Inorganic Chemicals.Alkalies.Hydroxides.Ammonium Hydroxide,D01.045.250.225
Inorganic Chemicals.Alkalies.Hydroxides.Calcium Hydroxide,D01.045.250.313
Inorganic Chemicals.Alkalies.Hydroxides.Hydroxyl Radical,D01.045.250.357
Inorganic Chemicals.Alkalies.Hydroxides.Lye,D01.045.250.400
Inorganic Chemicals.Alkalies.Hydroxides.Magnesium Hydroxide,D01.045.250.575
Inorganic Chemicals.Alkalies.Hydroxides.Sodium Hydroxide,D01.045.250.750
Inorganic Chemicals.Alkalies.Hydroxides.Water,D01.045.250.875
Inorganic Chemicals.Alkalies.Hydroxides.Water.Deuterium Oxide,D01.045.250.875.200
Inorganic Chemicals.Alkalies.Hydroxides.Water.Drinking Water,D01.045.250.875.300
Inorganic Chemicals.Alkalies.Hydroxides.Water.Ice,D01.045.250.875.400
Inorganic Chemicals.Alkalies.Hydroxides.Water.Mineral Waters,D01.045.250.875.600
Inorganic Chemicals.Alkalies.Hydroxides.Water.Mineral Waters.Carbonated Water,D01.045.250.875.600.500
Inorganic Chemicals.Alkalies.Hydroxides.Water.Steam,D01.045.250.875.800
Inorganic Chemicals.Alkalies.Lewis Bases,D01.045.625
Inorganic Chemicals.Aluminum Compounds,D01.056
Inorganic Chemicals.Aluminum Compounds.Alum Compounds,D01.056.025
Inorganic Chemicals.Aluminum Compounds.Aluminum Hydroxide,D01.056.037
Inorganic Chemicals.Aluminum Compounds.Aluminum Oxide,D01.056.050
Inorganic Chemicals.Aluminum Compounds.Aluminum Oxide.Aluminum Silicates,D01.056.050.075
Inorganic Chemicals.Aluminum Compounds.Aluminum Oxide.Aluminum Silicates.Bentonite,D01.056.050.075.100
Inorganic Chemicals.Aluminum Compounds.Aluminum Oxide.Aluminum Silicates.Kaolin,D01.056.050.075.350
Inorganic Chemicals.Aluminum Compounds.Aluminum Oxide.Aluminum Silicates.Zeolites,D01.056.050.075.975
Inorganic Chemicals.Arsenicals,D01.075
Inorganic Chemicals.Arsenicals.Arsenates,D01.075.025
Inorganic Chemicals.Arsenicals.Arsenites,D01.075.050
