id,value
Lipids,D10
Lipids.Ceroid,D10.150
Lipids.Fats,D10.212
Lipids.Fats.Dietary Fats,D10.212.302
Lipids.Fats.Dietary Fats.Butter,D10.212.302.199
Lipids.Fats.Dietary Fats.Butter.Ghee,D10.212.302.199.500
"Lipids.Fats.Dietary Fats.Cholesterol, Dietary",D10.212.302.347
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated",D10.212.302.380
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Cod Liver Oil",D10.212.302.380.360
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Corn Oil",D10.212.302.380.370
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Cottonseed Oil",D10.212.302.380.380
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Fatty Acids, Omega-3",D10.212.302.380.410
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Fatty Acids, Omega-3.alpha-Linolenic Acid",D10.212.302.380.410.100
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Fatty Acids, Omega-3.Docosahexaenoic Acids",D10.212.302.380.410.210
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Fatty Acids, Omega-3.Eicosapentaenoic Acid",D10.212.302.380.410.385
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Olive Oil",D10.212.302.380.580
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Safflower Oil",D10.212.302.380.750
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Sesame Oil",D10.212.302.380.775
"Lipids.Fats.Dietary Fats.Dietary Fats, Unsaturated.Soybean Oil",D10.212.302.380.800
Lipids.Fats.Dietary Fats.Margarine,D10.212.302.651
"Lipids.Fats.Fats, Unsaturated",D10.212.507
"Lipids.Fats.Fats, Unsaturated.Castor Oil",D10.212.507.300
"Lipids.Fats.Fats, Unsaturated.Castor Oil.Ricinoleic Acids",D10.212.507.300.500
"Lipids.Fats.Fats, Unsaturated.Cod Liver Oil",D10.212.507.325
"Lipids.Fats.Fats, Unsaturated.Corn Oil",D10.212.507.340
"Lipids.Fats.Fats, Unsaturated.Cottonseed Oil",D10.212.507.350
"Lipids.Fats.Fats, Unsaturated.Croton Oil",D10.212.507.375
"Lipids.Fats.Fats, Unsaturated.Linseed Oil",D10.212.507.550
"Lipids.Fats.Fats, Unsaturated.Olive Oil",D10.212.507.650
"Lipids.Fats.Fats, Unsaturated.Safflower Oil",D10.212.507.750
"Lipids.Fats.Fats, Unsaturated.Sesame Oil",D10.212.507.775
"Lipids.Fats.Fats, Unsaturated.Soybean Oil",D10.212.507.800
"Lipids.Fats.Fats, Unsaturated.Triolein",D10.212.507.850
Lipids.Fatty Acids,D10.251
