id,value
Macromolecular Substances,D05
Macromolecular Substances.Micelles,D05.374
Macromolecular Substances.Multiprotein Complexes,D05.500
Macromolecular Substances.Multiprotein Complexes.Amyloid,D05.500.049
Macromolecular Substances.Multiprotein Complexes.Apoptosomes,D05.500.099
Macromolecular Substances.Multiprotein Complexes.Axin Signaling Complex,D05.500.117
Macromolecular Substances.Multiprotein Complexes.Axin Signaling Complex.Adenomatous Polyposis Coli Protein,D05.500.117.249
Macromolecular Substances.Multiprotein Complexes.Axin Signaling Complex.Axin Protein,D05.500.117.500
Macromolecular Substances.Multiprotein Complexes.Axin Signaling Complex.Casein Kinase I,D05.500.117.750
Macromolecular Substances.Multiprotein Complexes.Axin Signaling Complex.Casein Kinase I.Casein Kinase Ialpha,D05.500.117.750.100
Macromolecular Substances.Multiprotein Complexes.Axin Signaling Complex.Casein Kinase I.Casein Kinase Idelta,D05.500.117.750.200
Macromolecular Substances.Multiprotein Complexes.Axin Signaling Complex.Casein Kinase I.Casein Kinase Iepsilon,D05.500.117.750.300
Macromolecular Substances.Multiprotein Complexes.Axin Signaling Complex.Glycogen Synthase Kinase 3,D05.500.117.875
Macromolecular Substances.Multiprotein Complexes.Axin Signaling Complex.Glycogen Synthase Kinase 3.Glycogen Synthase Kinase 3 beta,D05.500.117.875.500
Macromolecular Substances.Multiprotein Complexes.Calcifying Nanoparticles,D05.500.135
Macromolecular Substances.Multiprotein Complexes.COP9 Signalosome Complex,D05.500.139
Macromolecular Substances.Multiprotein Complexes.Dynactin Complex,D05.500.142
Macromolecular Substances.Multiprotein Complexes.Dystrophin-Associated Protein Complex,D05.500.149
Macromolecular Substances.Multiprotein Complexes.Endosomal Sorting Complexes Required for Transport,D05.500.199
Macromolecular Substances.Multiprotein Complexes.Endosomal Sorting Complexes Required for Transport.Nedd4 Ubiquitin Protein Ligases,D05.500.199.500
Macromolecular Substances.Multiprotein Complexes.Inflammasomes,D05.500.224
Macromolecular Substances.Multiprotein Complexes.Lactose Synthase,D05.500.299
Macromolecular Substances.Multiprotein Complexes.Mechanistic Target of Rapamycin Complex 1,D05.500.337
"Macromolecular Substances.Multiprotein Complexes.Mechanistic Target of Rapamycin Complex 1.MTOR Associated Protein, LST8 Homolog",D05.500.337.250
Macromolecular Substances.Multiprotein Complexes.Mechanistic Target of Rapamycin Complex 1.Regulatory-Associated Protein of mTOR,D05.500.337.500
Macromolecular Substances.Multiprotein Complexes.Mechanistic Target of Rapamycin Complex 2,D05.500.356
Macromolecular Substances.Multiprotein Complexes.Mechanistic Target of Rapamycin Complex 2.Rapamycin-Insensitive Companion of mTOR Protein,D05.500.356.500
Macromolecular Substances.Multiprotein Complexes.Mediator Complex,D05.500.374
Macromolecular Substances.Multiprotein Complexes.Mediator Complex.Cyclin C,D05.500.374.249
Macromolecular Substances.Multiprotein Complexes.Mediator Complex.Cyclin-Dependent Kinase 8,D05.500.374.500
Macromolecular Substances.Multiprotein Complexes.Mediator Complex.Mediator Complex Subunit 1,D05.500.374.750
Macromolecular Substances.Multiprotein Complexes.Molecular Motor Proteins,D05.500.500
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes,D05.500.562
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Electron Transport Complex I,D05.500.562.249
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Electron Transport Complex IV,D05.500.562.374
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Exosome Multienzyme Ribonuclease Complex,D05.500.562.405
"Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Fatty Acid Synthase, Type II",D05.500.562.444
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Glycine Decarboxylase Complex,D05.500.562.452
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Glycine Decarboxylase Complex.Aminomethyltransferase,D05.500.562.452.100
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Glycine Decarboxylase Complex.Dihydrolipoamide Dehydrogenase,D05.500.562.452.150
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Glycine Decarboxylase Complex.Glycine Decarboxylase Complex H-Protein,D05.500.562.452.175
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Glycine Decarboxylase Complex.Glycine Dehydrogenase (Decarboxylating),D05.500.562.452.200
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Ketoglutarate Dehydrogenase Complex,D05.500.562.468
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Ketoglutarate Dehydrogenase Complex.Dihydrolipoamide Dehydrogenase,D05.500.562.468.500
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Phosphoenolpyruvate Sugar Phosphotransferase System,D05.500.562.484
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins,D05.500.562.488
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Cytochrome b6f Complex,D05.500.562.488.374
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Cytochrome b6f Complex.Cytochromes b6,D05.500.562.488.374.500
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Cytochrome b6f Complex.Cytochromes f,D05.500.562.488.374.750
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Cytochrome b6f Complex.Plastoquinol-Plastocyanin Reductase,D05.500.562.488.374.875
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Light-Harvesting Protein Complexes,D05.500.562.488.490
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Light-Harvesting Protein Complexes.Chlorophyll Binding Proteins,D05.500.562.488.490.249
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Light-Harvesting Protein Complexes.Phycobilisomes,D05.500.562.488.490.500
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Light-Harvesting Protein Complexes.Phycobilisomes.Phycobiliproteins,D05.500.562.488.490.500.500
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Light-Harvesting Protein Complexes.Phycobilisomes.Phycobiliproteins.Phycocyanin,D05.500.562.488.490.500.500.755
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Light-Harvesting Protein Complexes.Phycobilisomes.Phycobiliproteins.Phycoerythrin,D05.500.562.488.490.500.500.777
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Photosystem I Protein Complex,D05.500.562.488.500
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Photosynthetic Reaction Center Complex Proteins.Photosystem II Protein Complex,D05.500.562.488.750
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Proteasome Endopeptidase Complex,D05.500.562.500
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Pyruvate Dehydrogenase Complex,D05.500.562.625
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Pyruvate Dehydrogenase Complex.Dihydrolipoamide Dehydrogenase,D05.500.562.625.500
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Pyruvate Dehydrogenase Complex.Dihydrolipoyllysine-Residue Acetyltransferase,D05.500.562.625.750
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Pyruvate Dehydrogenase Complex.Pyruvate Dehydrogenase (Lipoamide),D05.500.562.625.875
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Succinate Cytochrome c Oxidoreductase,D05.500.562.750
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Succinate Cytochrome c Oxidoreductase.Electron Transport Complex II,D05.500.562.750.249
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Succinate Cytochrome c Oxidoreductase.Electron Transport Complex II.Succinate Dehydrogenase,D05.500.562.750.249.500
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Succinate Cytochrome c Oxidoreductase.Electron Transport Complex III,D05.500.562.750.500
Macromolecular Substances.Multiprotein Complexes.Multienzyme Complexes.Sucrase-Isomaltase Complex,D05.500.562.875
Macromolecular Substances.Multiprotein Complexes.Polycomb-Group Proteins,D05.500.781
Macromolecular Substances.Multiprotein Complexes.Polycomb-Group Proteins.Polycomb Repressive Complex 1,D05.500.781.100
Macromolecular Substances.Multiprotein Complexes.Polycomb-Group Proteins.Polycomb Repressive Complex 2,D05.500.781.750
Macromolecular Substances.Multiprotein Complexes.Polycomb-Group Proteins.Polycomb Repressive Complex 2.Enhancer of Zeste Homolog 2 Protein,D05.500.781.750.250
Macromolecular Substances.Multiprotein Complexes.Polycomb-Group Proteins.Polycomb Repressive Complex 2.Retinoblastoma-Binding Protein 4,D05.500.781.750.500
Macromolecular Substances.Multiprotein Complexes.Polycomb-Group Proteins.Polycomb Repressive Complex 2.Retinoblastoma-Binding Protein 7,D05.500.781.750.750
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems,D05.500.890
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems.Bacterial Secretion Systems,D05.500.890.500
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems.Bacterial Secretion Systems.Type I Secretion Systems,D05.500.890.500.500
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems.Bacterial Secretion Systems.Type II Secretion Systems,D05.500.890.500.750
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems.Bacterial Secretion Systems.Type III Secretion Systems,D05.500.890.500.875
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems.Bacterial Secretion Systems.Type IV Secretion Systems,D05.500.890.500.937
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems.Bacterial Secretion Systems.Type V Secretion Systems,D05.500.890.500.968
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems.Bacterial Secretion Systems.Type VI Secretion Systems,D05.500.890.500.984
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems.Bacterial Secretion Systems.Type VII Secretion Systems,D05.500.890.500.992
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems.SEC Translocation Channels,D05.500.890.625
Macromolecular Substances.Multiprotein Complexes.Protein Translocation Systems.Twin-Arginine-Translocation System,D05.500.890.750
Macromolecular Substances.Multiprotein Complexes.Troponin,D05.500.945
Macromolecular Substances.Multiprotein Complexes.Troponin.Troponin C,D05.500.945.900
Macromolecular Substances.Multiprotein Complexes.Troponin.Troponin I,D05.500.945.925
Macromolecular Substances.Multiprotein Complexes.Troponin.Troponin T,D05.500.945.962
Macromolecular Substances.Polymers,D05.750
Macromolecular Substances.Polymers.Biopolymers,D05.750.078
Macromolecular Substances.Polymers.Biopolymers.Chitin,D05.750.078.139
Macromolecular Substances.Polymers.Biopolymers.Chitin.Chitosan,D05.750.078.139.500
Macromolecular Substances.Polymers.Biopolymers.Collagen,D05.750.078.280
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens,D05.750.078.280.300
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens.Collagen Type I,D05.750.078.280.300.100
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens.Collagen Type II,D05.750.078.280.300.200
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens.Collagen Type III,D05.750.078.280.300.300
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens.Collagen Type V,D05.750.078.280.300.400
Macromolecular Substances.Polymers.Biopolymers.Collagen.Fibrillar Collagens.Collagen Type XI,D05.750.078.280.300.500
Macromolecular Substances.Polymers.Biopolymers.Elastin,D05.750.078.421
Macromolecular Substances.Polymers.Biopolymers.Glucans,D05.750.078.562
Macromolecular Substances.Polymers.Biopolymers.Glucans.Cellulose,D05.750.078.562.180
"Macromolecular Substances.Polymers.Biopolymers.Glucans.Cellulose.Cellulose, Oxidized",D05.750.078.562.180.200
Macromolecular Substances.Polymers.Biopolymers.Glucans.Cellulose.Hypromellose Derivatives,D05.750.078.562.180.357
Macromolecular Substances.Polymers.Biopolymers.Glucans.Cellulose.Lignin,D05.750.078.562.180.515
Macromolecular Substances.Polymers.Biopolymers.Glucans.Dextrans,D05.750.078.562.272
Macromolecular Substances.Polymers.Biopolymers.Glucans.Glycogen,D05.750.078.562.388
Macromolecular Substances.Polymers.Biopolymers.Glucans.Glycogen.Liver Glycogen,D05.750.078.562.388.518
Macromolecular Substances.Polymers.Biopolymers.Glucans.Starch,D05.750.078.562.855
Macromolecular Substances.Polymers.Biopolymers.Glucans.Starch.Inulin,D05.750.078.562.855.750
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins,D05.750.078.593
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Desmin,D05.750.078.593.200
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Glial Fibrillary Acidic Protein,D05.750.078.593.400
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins,D05.750.078.593.450
Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.beta-Keratins,D05.750.078.593.450.074
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Hair-Specific",D05.750.078.593.450.149
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I",D05.750.078.593.450.300
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-10",D05.750.078.593.450.300.100
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-12",D05.750.078.593.450.300.200
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-13",D05.750.078.593.450.300.300
"Macromolecular Substances.Polymers.Biopolymers.Intermediate Filament Proteins.Keratins.Keratins, Type I.Keratin-14",D05.750.078.593.450.300.400
