id,value
"Nucleic Acids, Nucleotides, and Nucleosides",D13
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics)",D13.150
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics).DNA, Antisense",D13.150.200
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics).DNA, Antisense.Oligodeoxyribonucleotides, Antisense",D13.150.200.640
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics).Oligonucleotides, Antisense",D13.150.480
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics).Oligonucleotides, Antisense.Oligodeoxyribonucleotides, Antisense",D13.150.480.640
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics).Oligonucleotides, Antisense.Oligoribonucleotides, Antisense",D13.150.480.645
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics).RNA, Antisense",D13.150.650
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics).RNA, Antisense.MicroRNAs",D13.150.650.319
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics).RNA, Antisense.MicroRNAs.Circulating MicroRNA",D13.150.650.319.500
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics).RNA, Antisense.Oligoribonucleotides, Antisense",D13.150.650.640
"Nucleic Acids, Nucleotides, and Nucleosides.Antisense Elements (Genetics).RNA, Antisense.RNA, Small Interfering",D13.150.650.700
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acid Precursors",D13.400
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acid Precursors.RNA Precursors",D13.400.730
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids",D13.444
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Cell-Free Nucleic Acids",D13.444.154
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Cell-Free Nucleic Acids.Circulating MicroRNA",D13.444.154.250
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Cell-Free Nucleic Acids.Circulating Tumor DNA",D13.444.154.500
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA",D13.444.308
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Ancient",D13.444.308.065
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, A-Form",D13.444.308.130
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA Adducts",D13.444.308.135
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Algal",D13.444.308.148
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Antisense",D13.444.308.150
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Antisense.Oligodeoxyribonucleotides, Antisense",D13.444.308.150.640
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Archaeal",D13.444.308.180
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, B-Form",D13.444.308.196
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Bacterial",D13.444.308.212
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, C-Form",D13.444.308.227
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Catalytic",D13.444.308.243
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Circular",D13.444.308.283
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Circular.DNA, Catenated",D13.444.308.283.084
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Circular.DNA, Chloroplast",D13.444.308.283.170
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Circular.DNA, Mitochondrial",D13.444.308.283.225
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Circular.DNA, Mitochondrial.DNA, Kinetoplast",D13.444.308.283.225.200
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Circular.DNA, Superhelical",D13.444.308.283.250
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Concatenated",D13.444.308.291
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Cruciform",D13.444.308.295
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Fungal",D13.444.308.300
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Helminth",D13.444.308.315
