id,value
Organic Chemicals,D02
Organic Chemicals.Alcohols,D02.033
Organic Chemicals.Alcohols.Amino Alcohols,D02.033.100
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines,D02.033.100.291
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Albuterol,D02.033.100.291.057
"Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Albuterol.Albuterol, Ipratropium Drug Combination",D02.033.100.291.057.125
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Albuterol.Levalbuterol,D02.033.100.291.057.500
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Albuterol.Salmeterol Xinafoate,D02.033.100.291.057.750
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Albuterol.Salmeterol Xinafoate.Fluticasone-Salmeterol Drug Combination,D02.033.100.291.057.750.500
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Choline,D02.033.100.291.211
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Choline.Platelet Activating Factor,D02.033.100.291.211.500
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Clenbuterol,D02.033.100.291.231
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Deanol,D02.033.100.291.274
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Epinephrine,D02.033.100.291.310
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Epinephrine.Racepinephrine,D02.033.100.291.310.500
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Ethanolamine,D02.033.100.291.375
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.2-Hydroxyphenethylamine,D02.033.100.291.410
Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Formoterol Fumarate,D02.033.100.291.425
"Organic Chemicals.Alcohols.Amino Alcohols.Ethanolamines.Formoterol Fumarate.Budesonide, Formoterol Fumarate Drug Combination",D02.033.100.291.425.250
