id,value
Polycyclic Compounds,D04
Polycyclic Compounds.Bridged-Ring Compounds,D04.075
Polycyclic Compounds.Bridged-Ring Compounds.Bridged Bicyclo Compounds,D04.075.080
Polycyclic Compounds.Fused-Ring Compounds,D04.210
Polycyclic Compounds.Fused-Ring Compounds.Steroids,D04.210.500
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes,D04.210.500.054
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols,D04.210.500.054.040
"Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols.Androstane-3,17-diol",D04.210.500.054.040.080
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols.Androsterone,D04.210.500.054.040.129
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols.Dihydrotestosterone,D04.210.500.054.040.248
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols.Dihydrotestosterone.Mesterolone,D04.210.500.054.040.248.450
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols.Etiocholanolone,D04.210.500.054.040.368
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols.Oxandrolone,D04.210.500.054.040.581
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols.Oxymetholone,D04.210.500.054.040.632
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols.Pancuronium,D04.210.500.054.040.685
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols.Stanozolol,D04.210.500.054.040.881
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstanols.Vecuronium Bromide,D04.210.500.054.040.920
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes,D04.210.500.054.079
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Abiraterone Acetate,D04.210.500.054.079.065
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstadienes,D04.210.500.054.079.129
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstadienes.Fluticasone,D04.210.500.054.079.129.114
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstadienes.Fluticasone.Fluticasone-Salmeterol Drug Combination,D04.210.500.054.079.129.114.500
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstadienes.Loteprednol Etabonate,D04.210.500.054.079.129.284
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstadienes.Methandrostenolone,D04.210.500.054.079.129.453
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstadienes.Testolactone,D04.210.500.054.079.129.782
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstatrienes,D04.210.500.054.079.229
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenedione,D04.210.500.054.079.329
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols,D04.210.500.054.079.429
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Androstenediols,D04.210.500.054.079.429.154
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Androstenediols.Androstenediol,D04.210.500.054.079.429.154.050
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Androstenediols.Fluoxymesterone,D04.210.500.054.079.429.154.349
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Androstenediols.Methandriol,D04.210.500.054.079.429.154.600
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Cyanoketone,D04.210.500.054.079.429.320
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Dehydroepiandrosterone,D04.210.500.054.079.429.625
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Dehydroepiandrosterone.Dehydroepiandrosterone Sulfate,D04.210.500.054.079.429.625.300
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Testosterone,D04.210.500.054.079.429.824
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Testosterone.Epitestosterone,D04.210.500.054.079.429.824.275
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Testosterone.Hydroxytestosterones,D04.210.500.054.079.429.824.375
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Testosterone.Methenolone,D04.210.500.054.079.429.824.537
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Testosterone.Methyltestosterone,D04.210.500.054.079.429.824.664
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Androstenols.Testosterone.Testosterone Propionate,D04.210.500.054.079.429.824.832
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Androstanes.Androstenes.Finasteride,D04.210.500.054.079.500
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts,D04.210.500.105
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids,D04.210.500.105.225
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Cholic Acid,D04.210.500.105.225.130
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Cholic Acid.Cholates,D04.210.500.105.225.130.330
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Cholic Acid.Cholates.Sodium Cholate,D04.210.500.105.225.130.330.850
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Dehydrocholic Acid,D04.210.500.105.225.261
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Deoxycholic Acid,D04.210.500.105.225.272
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Deoxycholic Acid.Chenodeoxycholic Acid,D04.210.500.105.225.272.150
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Deoxycholic Acid.Chenodeoxycholic Acid.Glycochenodeoxycholic Acid,D04.210.500.105.225.272.150.350
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Deoxycholic Acid.Chenodeoxycholic Acid.Taurochenodeoxycholic Acid,D04.210.500.105.225.272.150.850
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Deoxycholic Acid.Glycodeoxycholic Acid,D04.210.500.105.225.272.411
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Deoxycholic Acid.Glycodeoxycholic Acid.Glycochenodeoxycholic Acid,D04.210.500.105.225.272.411.360
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Deoxycholic Acid.Taurodeoxycholic Acid,D04.210.500.105.225.272.925
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Deoxycholic Acid.Taurodeoxycholic Acid.Taurochenodeoxycholic Acid,D04.210.500.105.225.272.925.875
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Deoxycholic Acid.Ursodeoxycholic Acid,D04.210.500.105.225.272.962
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Glycocholic Acid,D04.210.500.105.225.400
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Glycocholic Acid.Glycodeoxycholic Acid,D04.210.500.105.225.400.380
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Glycocholic Acid.Glycodeoxycholic Acid.Glycochenodeoxycholic Acid,D04.210.500.105.225.400.380.360
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Lithocholic Acid,D04.210.500.105.225.480
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Lithocholic Acid.Taurolithocholic Acid,D04.210.500.105.225.480.880
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Taurocholic Acid,D04.210.500.105.225.900
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Taurocholic Acid.Taurodeoxycholic Acid,D04.210.500.105.225.900.900
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Taurocholic Acid.Taurodeoxycholic Acid.Taurochenodeoxycholic Acid,D04.210.500.105.225.900.900.870
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Bile Acids and Salts.Cholic Acids.Taurocholic Acid.Taurolithocholic Acid,D04.210.500.105.225.900.920
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides,D04.210.500.155
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides,D04.210.500.155.580
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Bufanolides,D04.210.500.155.580.064
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Bufanolides.Proscillaridin,D04.210.500.155.580.064.580
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides,D04.210.500.155.580.130
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitalis Glycosides,D04.210.500.155.580.130.500
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitalis Glycosides.Digitonin,D04.210.500.155.580.130.500.236
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitalis Glycosides.Digitoxin,D04.210.500.155.580.130.500.336
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitalis Glycosides.Digitoxin.Acetyldigitoxins,D04.210.500.155.580.130.500.336.259
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitalis Glycosides.Digoxin,D04.210.500.155.580.130.500.436
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitalis Glycosides.Digoxin.Acetyldigoxins,D04.210.500.155.580.130.500.436.050
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitalis Glycosides.Digoxin.Medigoxin,D04.210.500.155.580.130.500.436.500
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitalis Glycosides.Lanatosides,D04.210.500.155.580.130.500.657
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitalis Glycosides.Lanatosides.Deslanoside,D04.210.500.155.580.130.500.657.200
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitoxin,D04.210.500.155.580.130.625
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitoxin.Acetyldigitoxins,D04.210.500.155.580.130.625.259
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digitoxin.Digitoxigenin,D04.210.500.155.580.130.625.350
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digoxin,D04.210.500.155.580.130.688
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digoxin.Acetyldigoxins,D04.210.500.155.580.130.688.050
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digoxin.Digoxigenin,D04.210.500.155.580.130.688.350
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Digoxin.Medigoxin,D04.210.500.155.580.130.688.500
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Strophanthins,D04.210.500.155.580.130.750
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Strophanthins.Cymarine,D04.210.500.155.580.130.750.250
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Strophanthins.Ouabain,D04.210.500.155.580.130.750.600
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cardanolides.Cardiac Glycosides.Cardenolides.Strophanthins.Strophanthidin,D04.210.500.155.580.130.750.800
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cholanes,D04.210.500.221
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cholanes.Cholenes,D04.210.500.221.263
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cholanes.Cholic Acids,D04.210.500.221.430
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cholanes.Cholic Acids.Cholic Acid,D04.210.500.221.430.130
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cholanes.Cholic Acids.Cholic Acid.Cholates,D04.210.500.221.430.130.330
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cholanes.Cholic Acids.Cholic Acid.Cholates.Sodium Cholate,D04.210.500.221.430.130.330.850
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cholanes.Cholic Acids.Dehydrocholic Acid,D04.210.500.221.430.265
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cholanes.Cholic Acids.Deoxycholic Acid,D04.210.500.221.430.342
Polycyclic Compounds.Fused-Ring Compounds.Steroids.Cholanes.Cholic Acids.Deoxycholic Acid.Chenodeoxycholic Acid,D04.210.500.221.430.342.300
